bookname,rating_nums,imgurl,info,author,translater,publisher,price,_openid,total
繁花,8.7,https://img1.doubanio.com/view/subject/s/public/s26037307.jpg,金宇澄 / 上海文艺出版社 / 2013-3 / 48.00元,金宇澄 ,none, 上海文艺出版社 , 48.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
中国哲学简史,8.9,https://img9.doubanio.com/view/subject/s/public/s1069364.jpg,冯友兰 / 赵复三 / 新世界出版社 / 2004-1 / 38.00元,冯友兰 , 赵复三 , 新世界出版社 , 38.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
金锁记,8.6,https://img9.doubanio.com/view/subject/s/public/s2976745.jpg,张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元,张爱玲 ,none, 哈尔滨出版社 , 13.5元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
额尔古纳河右岸,9,https://img9.doubanio.com/view/subject/s/public/s3380714.jpg,迟子建 / 北京十月文艺出版社 / 2005-12-1 / 29.00元,迟子建 ,none, 北京十月文艺出版社 , 29.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
海风中失落的血色馈赠,9.1,https://img3.doubanio.com/view/subject/s/public/s28061231.jpg,[加拿大] 阿利斯泰尔·麦克劳德 / 陈以侃 / 上海文艺出版社 / 2015-6-1 / CNY 20.00,[加拿大] 阿利斯泰尔·麦克劳德 , 陈以侃 , 上海文艺出版社 , CNY 20.00,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
设计中的设计,8.6,https://img3.doubanio.com/view/subject/s/public/s2165932.jpg,[日] 原研哉 / 朱锷 / 山东人民出版社 / 2006-11 / 48.00元,[日] 原研哉 , 朱锷 , 山东人民出版社 , 48.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
银河帝国：基地七部曲,9.5,https://img9.doubanio.com/view/subject/s/public/s28284246.jpg,[美] 艾萨克·阿西莫夫 / 叶李华 / 江苏凤凰文艺出版社 / 2015-10-1 / 328.00元,[美] 艾萨克·阿西莫夫 , 叶李华 , 江苏凤凰文艺出版社 , 328.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
简爱（英文全本）,8.5,https://img9.doubanio.com/view/subject/s/public/s5924326.jpg,[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元,[英] 夏洛蒂·勃朗特 ,none, 世界图书出版公司 , 18.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
强风吹拂,9,https://img1.doubanio.com/view/subject/s/public/s27914268.jpg,三浦紫苑 / 林佩瑾 / 广西师范大学出版社 / 2015-1-1 / 39.00元,三浦紫苑 , 林佩瑾 , 广西师范大学出版社 , 39.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
众病之王,9.1,https://img1.doubanio.com/view/subject/s/public/s24598159.jpg,[美] 悉达多·穆克吉 / 李虎 / 中信出版社 / 2013-2-4 / 42.00元,[美] 悉达多·穆克吉 , 李虎 , 中信出版社 , 42.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
恶意,8.4,https://img9.doubanio.com/view/subject/s/public/s3814606.jpg,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2009-6 / 18.00,[日] 东野圭吾 , 娄美莲 , 南海出版公司 ,18,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
庄子,9.4,https://img9.doubanio.com/view/subject/s/public/s5765615.jpg,孙通海 译注 / 方勇 译注 / 中华书局 / 2007-04 / 20.00元,孙通海 译注 , 方勇 译注 , 中华书局 , 20.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
狂热分子,8.9,https://img1.doubanio.com/view/subject/s/public/s28036829.jpg,[美] 埃里克·霍弗 / 梁永安 / 广西师范大学出版社 / 2011-6 / 34.00元,[美] 埃里克·霍弗 , 梁永安 , 广西师范大学出版社 , 34.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
影响力,8.6,https://img9.doubanio.com/view/subject/s/public/s1657785.jpg,[美] 罗伯特·西奥迪尼 / 陈叙 / 中国人民大学出版社 / 2006-5 / 45.00元,[美] 罗伯特·西奥迪尼 , 陈叙 , 中国人民大学出版社 , 45.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
ZOO,8.6,https://img1.doubanio.com/view/subject/s/public/s2756239.jpg,[日] 乙一 / 李颖秋 / 当代世界出版社 / 2007-10 / 20.00元,[日] 乙一 , 李颖秋 , 当代世界出版社 , 20.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
象棋的故事,9.1,https://img3.doubanio.com/view/subject/s/public/s2897060.jpg,[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 23.00元,[奥] 斯台芬·茨威格 , 张玉书 , 上海译文出版社 , 23.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
毛姆短篇小说精选集,9.1,https://img9.doubanio.com/view/subject/s/public/s24174596.jpg,(英)威廉·萨默塞特·毛姆 / 冯亦代 / 译林出版社 / 2012-11 / 36.00元,(英)威廉·萨默塞特·毛姆 , 冯亦代 , 译林出版社 , 36.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
你一生的故事,8.6,https://img9.doubanio.com/view/subject/s/public/s28033064.jpg,[美] 特德·姜 / 李克勤 / 译林出版社 / 2015-5 / 36.00元,[美] 特德·姜 , 李克勤 , 译林出版社 , 36.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
夏洛的网,8.6,https://img1.doubanio.com/view/subject/s/public/s1120437.jpg,[美] E.B.怀特 / 任溶溶 / 上海译文出版社 / 2004-5 / 17.00元,[美] E.B.怀特 , 任溶溶 , 上海译文出版社 , 17.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
